Px 	Py 	Vx 	Vy 	Px_rmse 	Py_rmse 	Vx_rmse 	Vy_rmse 	NIS 	Yaw 	Yaw Rate 	SensorType
19.133	16.5793	-2.45481	3.97249	0.0529691	0.0981403	0.617083	0.352833	0.276391	2.12431	0.570282	1
19.0033	16.7893	-2.57664	3.92007	0.0528118	0.0981142	0.614605	0.351751	0.276391	2.15228	0.568765	0
18.8454	16.9795	-2.85602	3.74209	0.0525988	0.0981945	0.612502	0.351248	6.18632	2.2227	0.682388	1
18.6702	17.2135	-3.04368	3.70714	0.0525355	0.098019	0.610711	0.350521	6.18632	2.25823	0.680388	0
18.5709	17.4212	-2.8973	3.7912	0.052328	0.0977808	0.608309	0.349207	6.25833	2.22333	0.509073	1
18.358	17.6131	-3.11069	3.6987	0.0525215	0.0975449	0.606102	0.347936	6.25833	2.27005	0.531407	0
18.221	17.8063	-3.08997	3.7054	0.0525877	0.0972868	0.603745	0.346575	1.88194	2.26588	0.451098	1
18.0927	17.9941	-3.12313	3.65172	0.0524694	0.0970138	0.601403	0.345235	1.88194	2.27833	0.440051	0
17.9153	18.1462	-3.30074	3.46951	0.0524646	0.096884	0.599107	0.343963	2.41227	2.33127	0.514866	1
17.786	18.2897	-3.32098	3.35222	0.052284	0.0969884	0.596818	0.342759	2.41227	2.35151	0.510612	0
17.6525	18.4709	-3.32863	3.32197	0.0521124	0.0970025	0.594622	0.341474	6.48365	2.3572	0.476751	1
17.4594	18.6537	-3.4505	3.26433	0.0519161	0.0968962	0.592417	0.340187	6.48365	2.38391	0.478706	0
17.2777	18.7934	-3.57071	3.10922	0.0517228	0.0969415	0.590213	0.338954	1.91573	2.42517	0.519669	1
17.1173	18.9305	-3.61515	2.99645	0.0515568	0.0971472	0.588067	0.337754	1.91573	2.4495	0.518865	0
16.9499	19.1009	-3.65372	2.96247	0.0514737	0.0971844	0.586005	0.33651	2.93519	2.4603	0.491388	1
16.7331	19.2167	-3.77637	2.80844	0.0512975	0.0974842	0.583909	0.335314	2.93519	2.50214	0.511739	0
16.5427	19.3695	-3.86476	2.71739	0.0511331	0.0976648	0.581825	0.334116	3.24769	2.52878	0.523492	1
16.3176	19.531	-3.98671	2.65283	0.0509541	0.0976364	0.579733	0.332912	3.24769	2.55445	0.520759	0
16.0944	19.6126	-4.11614	2.40955	0.050832	0.0980235	0.577664	0.331915	10.0966	2.61199	0.581515	1
